rank	pmid	source_file	abstract_sha256
1	41779015	00001-41779015-abstract.txt	56b34c15e4db22676484f412f81cd86e347d3eae52f057007b4cddaccdb94e5d
2	41774080	00002-41774080-abstract.txt	ebe30304d3076580622fdccc85c2276b1357a90e42198f891f28c4dd396f8309
3	41773501	00003-41773501-abstract.txt	3bb7495b57b819ef29ec8d02bd8f73461060acff185e9d28eae226fe0cfa2508
4	41790565	00004-41790565-abstract.txt	2b04847c1b5ab51a3fa62c469d18c1d5e4c56543f996aa07b392ba5af495e448
5	41649942	00005-41649942-abstract.txt	4cbe9a35c12e220895fde7d9c07a9d63245baa9676cbbd0c6de0ce3766d8728b
6	41739071	00006-41739071-abstract.txt	1864e8295b4e6a5adfc5648be8f8ceeaddadf3728525ef66c318d97af943dfe3
7	41701003	00007-41701003-abstract.txt	15c2cc4cf82c67a69a7bd8f94dd2c2b6715102f46faf78ba5bee4ee0dcdeb68e
8	41671031	00008-41671031-abstract.txt	8bedcac6ab0a989c5d8875ed4d7bd14fd1473af3cf9f0da0bb5c3d0fe24f3f15
9	41553856	00009-41553856-abstract.txt	ab6c367589919c466c5a216b8ee4f6aafe564b42e3d95a3b5e3209386fc37158
10	41553838	00010-41553838-abstract.txt	bbe563529adcfe69c3a2510b461a0cb9c40bd4114133c8a3c245b109df5c4f62
11	41543052	00011-41543052-abstract.txt	080cc3cc5da8e5a3c5db68cfcd1f1614d6662996ea9eda5e2aaa85bc463c3638
12	41498776	00012-41498776-abstract.txt	816227c18d9e97c848f14466cc9344533cf8e915f45828e7d6b727d8fbd9136c
13	41525133	00013-41525133-abstract.txt	98cbd333fe5c38d3b4d1d6ab1103b575772bc4181eb05572ec9a87e681a6b18a
14	41609689	00014-41609689-abstract.txt	c81b63d4fe4177071ddd0fa380077c84d8c53e097a2015e5a0f591915df7e394
15	41568814	00015-41568814-abstract.txt	f5880e3c8c3a989dfca71caef8fdadcba3dea6b981a369f2f806e2ecc23ad5a2
16	41510800	00016-41510800-abstract.txt	084feab9900505dd0149fcebfbf935cf0788b192262822bfedd1d4546e2e76de
17	41568592	00017-41568592-abstract.txt	0826523e4e8ee7f41dbb861a9fe697ebf1788ff7126e25e89c07eeab6ac5c4d2
18	41568815	00018-41568815-abstract.txt	f26eae021be7dd2defd710d5382f9ed6fc573ca036ea1fcf2a0c1923af08502e
19	41364487	00019-41364487-abstract.txt	ae1970343bb11f2067ee0c9265a5b3a739c00a8cb45f35a7efc70c19f4ce35c6
20	41410399	00020-41410399-abstract.txt	d2f7f90472c57cc27f1d270ce3ac06283c79b855a80eecc6a142fc2c9a1f09d5
21	41329602	00021-41329602-abstract.txt	692350807acdda06d6d39e7ff706a3448478c2b1bff249e0b7db8d52cfce7bca
22	41369690	00022-41369690-abstract.txt	40f3620a5c669c4fbc7439e1ceac4c02982007af22c7001711df409ba1808f0d
23	41182829	00023-41182829-abstract.txt	8bb31e9741871559db525cf288400d3b586aef858511f929379d5864eac16cd3
24	41313628	00024-41313628-abstract.txt	6a8a8451f65974f4f488299e6d985e990b2ae2e41dfaa515df8819590ed3d57a
25	41236790	00025-41236790-abstract.txt	a536d7afa2b4dba567b46f67c9582c4a702b3aaf8b87c29a0b819462e4fbf5ac
26	41263815	00026-41263815-abstract.txt	433935930a0e6af1b938e265c5bd66ffe5a6fdd2c6496bb73de013c8eb5afcdd
27	41237040	00027-41237040-abstract.txt	2d99b76c70e709e84f08c87b0667be22b74fd7632de07b2ab78b974dfebaa353
28	41182828	00028-41182828-abstract.txt	36f289447ac2e55e5f473d2bdf4b0b65b128b1fd3e28bd3263a47f8e1b0aa22b
29	41123960	00029-41123960-abstract.txt	cdde7cab803670f0379a4ab0b17f0e3071993d4ca14e76e0a4249feb74086531
30	41042680	00030-41042680-abstract.txt	41323676ad6a8c455189a2be81b702d617c8c7fe8b749a124ad0ebd1ec25f44f
31	41166108	00031-41166108-abstract.txt	acece73bf04781abae554492fa559444a7ecbb1fa4de58fa105fb8d5fbe5348d
32	41925719	00032-41925719-abstract.txt	c1c6e823c39220c7d1ffbcc894f10e821d032e262610cbdfeec2a01be04371b6
33	41954244	00033-41954244-abstract.txt	9d6a951bf30b97acbc8944adbbbf552c03e88f8a6dc9ece6dc3337c8721dfc56
34	41949907	00034-41949907-abstract.txt	d0a81d6f71c47b428093f838ed568252c9c1b97c726d2eacbeb936723a21fda9
35	41949913	00035-41949913-abstract.txt	f80f3ecd30326398802fc7d44bec9683078899ab8a8579a95c9f49f39462447d
36	41944293	00036-41944293-abstract.txt	9d01f2986e58cc6a243604216130de63688513acd55ea70606e5daa45eab5520
37	41954237	00037-41954237-abstract.txt	5d52a5367290c5413590126bfd854233fd5bf8d4b0d6d380b30c7172b033ecd7
38	41925727	00038-41925727-abstract.txt	f315d80bf2efc9c981230ac06befd6de9385d233702834f95dcac590a2e0c49f
39	40924470	00039-40924470-abstract.txt	77828662daf458369107732c2db8128dc9f70e0529668063d82b9c20c454b8b8
40	40889139	00040-40889139-abstract.txt	0e076afb45d95225886cec0c0c917d62513575efb45d18cfd9b51a69849a4cab
41	41874546	00041-41874546-abstract.txt	fb50da69104b578dd55a9eb360bc9a4d946080d6be0961f70497aae43e05d653
42	41823260	00042-41823260-abstract.txt	6033116e87b48590ce9311e24e50bb784f70a3ae7d05a87335974ebcffb027db
43	41779016	00043-41779016-abstract.txt	0c82d0aa4cffc23586143aac73787f73ff1639647165a9dfdc9a1192f9ec9e54
44	41773481	00044-41773481-abstract.txt	d5ab8d2dc6f832e4f66e30093516496b0a1c3d699953e5cac6e2bbad50511abd
45	41871164	00045-41871164-abstract.txt	ba14a9edc7693ab41f0324239fb7cf6c81cd4bfa65c8bd7c03f725e220ac9650
46	41818060	00046-41818060-abstract.txt	4c373a5ce9c5c115cd40be622fd335aa3dfa282bfba0ad24e6937e98daf6ebd5
47	41774479	00047-41774479-abstract.txt	05f678954dadc1a6399d8b2d45dc2767de336b34fc7bffc6b13cfd075a9fa849
48	41802012	00048-41802012-abstract.txt	045e427363253465190607875ae549a5d027afb7f2ff73de9ab8c17175f42261
49	41817573	00049-41817573-abstract.txt	f9664d8ec64698f6da3e1697e8cc5c0956b70ea958350cda7a2a74b295e4825b
50	41817047	00050-41817047-abstract.txt	20e092d1fb3d4df6ede6d781365b317f716c3236eddcd59fb633aac9e21db1b5
51	41811927	00051-41811927-abstract.txt	7f598a16b7995f0dcbe5988f4933b378520ed7f82e4e277493156a5298bd2014
52	41785016	00052-41785016-abstract.txt	8741e039435d109f5c8aafce996168bbd63f02c3139dae54e31f516c52d882e3
53	41779013	00053-41779013-abstract.txt	1c3cde733d7dd7b51e8488f924dc6bc0efa6b52f051c5354625b6e16dee8c4d3
54	40787854	00054-40787854-abstract.txt	e0b14b36eccbb973da866d7445e01bf9ba83022914cda8279cba82cacfdd112b
55	40772812	00055-40772812-abstract.txt	4f098f4f1e7e0616f1e5e667a16956124e52e410cf00613a71608a405e44c57f
56	40778938	00056-40778938-abstract.txt	9ec6e9864304f8f721c911ff3ebb5ad1c1f79000c93dc2eec70b2f155d159d77
57	40875437	00057-40875437-abstract.txt	22ee190d87bfa73ee22ae53d1c3f233a1e83558608f44e0632f1a45d35c57f9e
58	40772834	00058-40772834-abstract.txt	e4bfbf6b3d519f8ad5052e9620b2967f2398e16bb2ae567d450488c4049d9134
59	40880261	00059-40880261-abstract.txt	8272f6e7deb0896c445b38c77a857aff0b1db0d275a6ad51de770eacf99f2ad3
60	41686178	00060-41686178-abstract.txt	7f2e19165420f204c595c5187926b2425e77a13944fb80caa0338599799c6997
61	41686070	00061-41686070-abstract.txt	e2828db5a8c0f623a9dd13c310d5c1b4b0b0445b623c141f56996253957798a5
62	41636756	00062-41636756-abstract.txt	f19001699cb75ca1806e7771663e30ed4d1dd95eeb1ea05bb26e1dd7f4f69676
63	41719151	00063-41719151-abstract.txt	09af6d903ace6f5dd530189d34e9e539aae4f6821c3b8f29dbf3d5d3ec8fcc8f
64	41678260	00064-41678260-abstract.txt	6bb45d3d6b2ecd8b4e458536b667c101ae08305962ecbf73c664b2b3e26892db
65	41671046	00065-41671046-abstract.txt	ae11ddd74008fcc0899e12e03d28afaaaf1ef3cb2e2f32b949618d427d93cf2a
66	41662159	00066-41662159-abstract.txt	507f6b03697526444cfb34ad383c6a7f121fcca43ae706430925c90478258aa1
67	41661668	00067-41661668-abstract.txt	45873a0fdacc66eaee0853f49719a6307d56cf692d5a0ca08f7b570379043dd7
68	41641692	00068-41641692-abstract.txt	ea91e69d1634b2240bf188616738cd1495127441026581888b03bcce8c79cf9e
69	41734014	00069-41734014-abstract.txt	7d326a385c0ee19d462697497b335a273dc0a60f1a61f2669a926e49047ab0eb
70	41729196	00070-41729196-abstract.txt	60d94316f6bbf4ed319a6397dcf64fc3da59e30570f974adf7e59248fc37e435
71	41696783	00071-41696783-abstract.txt	af52bb75a134601c017c34323980ff383860a4d4721503d8838b32dc2308c487
72	41686174	00072-41686174-abstract.txt	1e9e832dd5b04131517cc5f714db3171b3e22d209ef9cdbda1c5dbeb158f0042
73	41665478	00073-41665478-abstract.txt	7c711308873a72c1ac8f6fd59f4725d0bcc836e9a9f7a5b08f126082cded9879
74	41641714	00074-41641714-abstract.txt	09bebdc04046ad01ec52e751c3dd94850b4f92ecf0d00aa45818de65b9aeaaa2
75	41627974	00075-41627974-abstract.txt	1dbdbe9f1b3ed7ef6427781a7883ca3366da7420fcf21c45d3e8556c97765dee
76	41758554	00076-41758554-abstract.txt	0885ca0ab0b510ea0d71aad7c60fd7498c9e2ff685644004ff959c0849365be1
77	41733572	00077-41733572-abstract.txt	c1149975ed8d6a2f8d56cfc589819b43c2a751beaed610f4d9c4584e4c54bc0b
78	41729200	00078-41729200-abstract.txt	68f9b0ec72ff686cd0a3f5ad2aa051942d7a192c5d049b85dc2b4932f5d11bea
79	41706031	00079-41706031-abstract.txt	4604ed316438c887681d7f97fa5d71df351892659c4f49ff76aec0cc55ca9edf
80	41665931	00080-41665931-abstract.txt	cb0e4ad6b5b6183c8a07f642040cee19c550220febcbb091ed2390ba19167033
81	41661661	00081-41661661-abstract.txt	f3ec8212d7e18b5697f6e324f24b254f0f323d5c00bf3fb0dee300017a5e10ee
82	41746692	00082-41746692-abstract.txt	ebe30f84512ca8b0e2e9688c7340ecfe33b0c562d0ab77c5c6f8faeb70e9adfb
83	41729564	00083-41729564-abstract.txt	06792ab67d34f6cc359357cd39493dc182019ecbbed166c7276aada689631f7e
84	41637121	00084-41637121-abstract.txt	9410c5db15b3b3ab013a5267b6821a55ab41f2d34cdee10ac4089838549f5425
85	41632589	00085-41632589-abstract.txt	fa4502134c011ce8f979262e7d33059dd76e92ef720b3771fb97a5bbc42eb775
86	41627989	00086-41627989-abstract.txt	e2e7464c618a2d80b42cc94eac76d5be0578abc0f8468c10adf4f7b87349df74
87	41706502	00087-41706502-abstract.txt	7e53de5578be76a33be2fd688b2ee83020eaacc80415875994bc7750d29e2702
