label	bucket	rows	n_docs	fields	example_context
meso-diaminopimelic acid	chemical (not in CHEBI)	14	10	chemical_utilization_object	... 0-5 % NaCl and whole-cell hydrolysates contained [[meso-diaminopimelic acid]] as the cell-wall diamino acid. On the 
oxidase	enzyme / assay	9	5	chemical_utilization_object	...polyphasic approach. The cells were catalase- and [[oxidase]]-positive and rod-shaped. The five novel strains w...
H2/CO2	chemical (not in CHEBI)	7	5	chemical_utilization_object	.... Dimethylamine, trimethylamine and methanethiol, [[H2/CO2]], formate, acetate, pyruvate, lactate and glucose ...
dl-lactate	chemical (not in CHEBI)	7	5	chemical_utilization_object	...-xylose, d-ribose, glycerol, ribitol, d-mannitol, [[dl-lactate]] and d-gluconate. Based on phylogenetic and phenot...
ll-diaminopimelic acid	chemical (not in CHEBI)	7	4	chemical_utilization_object	...Whole-cell hydrolysates of strain [[BI20T]] contained [[ll-diaminopimelic acid]] and whole-cell sugars contained gluc
R2A agar	growth medium / component	6	4	chemical_utilization_object	... performed on these strains. Both strains grow on [[R2A agar]] forming mucous, bright yellow colonies, developin...
tryptic soy agar	growth medium / component	6	3	chemical_utilization_object	...rization. Strain [[MMS21-DH1MA12T]] grew optimally in [[tryptic soy agar]], forming yellow-coloured, convex and smoot
urease	enzyme / assay	6	5	chemical_utilization_object	...closely related species by the (delayed) positive [[urease]] reaction in the API20NE test and by weak growth o...
nutrient agar	growth medium / component	6	3	chemical_utilization_object	... required for growth. Best growth was observed on [[nutrient agar]] or marine agar media. The strains contained dipho
carbon sources	chemical (not in CHEBI)	6	2	chemical_utilization_object	...xhibited high auxotrophy, being unable to use all [[carbon sources]] tested, likely due to genome reduction (4.6 Mbp)
marine agar	growth medium / component	5	3	chemical_utilization_object	...te, round, smooth and convex after cultivating on [[marine agar]] at 30 °C for 48 h. Cells were catalase and oxidas..
indole acetic acid	chemical (not in CHEBI)	5	3	chemical_utilization_object	...ding enzymes for synthesizing plant hormones like [[indole acetic acid]] and gibberellic acid. Experimental validatio
methyl-β-d-glucopyranoside	chemical (not in CHEBI)	5	1	chemical_utilization_object	...f α-glucosidase activity and acid production from [[methyl-β-d-glucopyranoside]] and maltose. The two novel species c
